open,high,low,close,volume,payment_type,fare_amount
46.59375,46.65625,46.40625,46.46875,960900,CSH,46.65625
46.53125,46.65625,46.46875,46.65625,164300,CSH,46.75
46.71875,46.78125,46.53125,46.75,710900,CSH,46.75
46.8125,46.84375,46.6875,46.75,201000,CSH,47.03125
46.84375,47.0625,46.71875,47.03125,775500,CSH,47.59375
47.09375,47.59375,46.96875,47.59375,593700,CSH,47.5
47.5625,47.5625,47.34375,47.5,295200,CSH,47.34375
47.53125,47.53125,47.1875,47.34375,158400,CSH,47.21875
47.21875,47.3125,47.15625,47.21875,244300,CSH,47.40625
47.375,47.5,47.375,47.40625,137200,CSH,47.40625
47.40625,47.46875,47.3125,47.40625,17700,CSH,47.46875
47.46875,47.53125,47.375,47.46875,166400,CSH,47.34375
47.40625,47.46875,47.25,47.34375,200800,CSH,47.46875
47.40625,47.5,47.375,47.46875,281100,CSH,47.375
47.53125,47.53125,47.34375,47.375,85600,CSH,47.1875
47.34375,47.5625,47.1875,47.1875,373800,CSH,47.1875
47.21875,47.25,47.09375,47.1875,310400,CSH,47.3125
47.1875,47.34375,47.125,47.3125,145100,CSH,47.75
47.40625,47.8125,47.34375,47.75,344500,CSH,47.875
47.9375,48.03125,47.875,47.875,356500,CSH,48.21875
48.0625,48.3125,48,48.21875,313800,CSH,47.96875
48.15625,48.15625,47.90625,47.96875,303600,CSH,48.28125
48.125,48.28125,48.09375,48.28125,307600,CSH,48.0625
48.1875,48.1875,47.90625,48.0625,466100,CSH,46.96875
48.0625,48.125,46.96875,46.96875,1403200,CSH,47.1875
46.84375,47.3125,46.84375,47.1875,516400,CSH,47.21875
47.28125,47.28125,47.03125,47.21875,188200,CSH,47.40625
47.25,47.4375,47.1875,47.40625,144600,CSH,47
47.375,47.40625,47,47,883900,CSH,47.15625
47.03125,47.28125,46.8125,47.15625,519400,CSH,47.21875
47.0625,47.375,47,47.21875,2742100,CSH,47.46875
47.3125,47.5,47.25,47.46875,374700,CSH,47.4375
47.53125,47.53125,47.34375,47.4375,287600,CSH,47.15625
47.65625,47.6875,47.03125,47.15625,342400,CSH,46.875
47.1875,47.21875,46.75,46.875,313300,CSH,47.34375
47,47.34375,47,47.34375,154500,CSH,47.21875
47.40625,47.4375,47.0625,47.21875,391700,CSH,46.59375
47.0625,47.0625,46.5625,46.59375,770800,CSH,46.8125
46.65625,46.8125,46.5625,46.8125,531300,CSH,46.8125
46.9375,47.0625,46.8125,46.8125,333000,CSH,46.625
46.8125,46.90625,46.375,46.625,423600,CSH,46.6875
46.03125,46.6875,45.90625,46.6875,581500,CSH,46.5625
46.625,46.625,46.4375,46.5625,223200,CSH,46.6875
46.5625,46.8125,46.40625,46.6875,595800,CSH,46.9375
46.84375,47,46.84375,46.9375,539800,CSH,46.75
46.96875,46.96875,46.6875,46.75,880300,CSH,46.96875
46.8125,47,46.59375,46.96875,2500100,CSH,46.59375
46.9375,46.9375,46.4375,46.59375,207400,CSH,46.84375
46.65625,46.90625,46.40625,46.84375,576600,CSH,46.90625
47.03125,47.03125,46.84375,46.90625,345900,CSH,46.875
47,47.09375,46.84375,46.875,748600,CSH,47.25
46.9375,47.25,46.78125,47.25,455500,CSH,47.25
47.09375,47.3125,47.09375,47.25,133000,CSH,46.96875
46.75,47.03125,46.71875,46.96875,365500,CSH,46.84375
46.8125,46.9375,46.71875,46.84375,324800,CSH,46.96875
46.84375,47.0625,46.75,46.96875,435700,CSH,46.9375
46.9375,47.0625,46.90625,46.9375,698500,CSH,46.375
46.75,46.84375,46.15625,46.375,1200500,CSH,45.9375
46.40625,46.53125,45.9375,45.9375,100900,CSH,46
46,46.0625,45.59375,46,1117200,CSH,45.09375
46,46.03125,45.09375,45.09375,338400,CSH,44.46875
45.125,45.25,44.46875,44.46875,1123900,CSH,44.59375
44.46875,44.6875,43.53125,44.59375,788800,CSH,43.90625
43.34375,44.03125,43.34375,43.90625,2627300,CSH,44.8125
44.34375,44.8125,44.34375,44.8125,1179000,CSH,44.8125
44.875,44.90625,44.5,44.8125,516500,CSH,45.03125
44.78125,45.125,44.53125,45.03125,666100,CSH,44.6875
44.9375,44.9375,44.46875,44.6875,242400,CSH,44.875
44.8125,45.0625,44.703125,44.875,203300,CSH,44.8125
44.921875,45,44.71875,44.8125,1409200,CSH,44.578125
44.796875,44.90625,44.25,44.578125,364100,CSH,44.59375
44.5,44.828125,44.40625,44.59375,419900,CSH,44.59375
44.578125,44.78125,44.515625,44.59375,387300,CSH,44.296875
44.640625,44.765625,44.15625,44.296875,369100,CSH,44.359375
44.25,44.53125,43.984375,44.359375,472200,CSH,44.3125
44.40625,44.515625,44.078125,44.3125,508000,CSH,44.90625
44.5,44.96875,44.34375,44.90625,200300,CSH,44.859375
45.015625,45.046875,44.734375,44.859375,301800,CSH,45.328125
44.84375,45.359375,44.84375,45.328125,394600,CSH,45.28125
